"Time (s)"	"Latitude (°)"	"Longitude (°)"	"Height (m)"	"Velocity (m/s)"	"Direction (°)"	"Horizontal Accuracy (m)"	"Vertical Accuracy (m)"
1.322435746E2	5.028230178E1	7.582534896E0	2.679195429E2	1.864999962E1	2.785000000E2	2.500000000E0	1.000000000E2
1.332485475E2	5.028235928E1	7.582254689E0	2.679196209E2	2.148999977E1	2.876000061E2	2.500000000E0	1.000000000E2
1.342746794E2	5.028243660E1	7.581931064E0	2.689197207E2	2.638999939E1	2.892999878E2	2.500000000E0	1.000000000E2
1.353122447E2	5.028251384E1	7.581550861E0	2.709198259E2	3.020999908E1	2.882000122E2	2.500000000E0	1.000000000E2
1.362847925E2	5.028258932E1	7.581136543E0	2.719199328E2	3.055999947E1	2.871000061E2	2.000000000E0	1.000000000E2
1.372830558E2	5.028266719E1	7.580739828E0	2.739200402E2	2.871999931E1	2.873999939E2	2.000000000E0	1.000000000E2
1.382845579E2	5.028274422E1	7.580365157E0	2.739201447E2	2.679999924E1	2.876000061E2	2.000000000E0	1.000000000E2
1.392767976E2	5.028281237E1	7.580023343E0	2.739202381E2	2.418000031E1	2.882999878E2	2.000000000E0	1.000000000E2
1.402566038E2	5.028287808E1	7.579702483E0	2.749203274E2	2.342000008E1	2.876000061E2	1.500000000E0	1.000000000E2
1.412900934E2	5.028293533E1	7.579376930E0	2.759204097E2	2.392000008E1	2.818999939E2	1.500000000E0	1.000000000E2
1.422680326E2	5.028295000E1	7.579026986E0	2.769204564E2	2.696999931E1	2.685000000E2	2.000000000E0	1.000000000E2
1.432759149E2	5.028293168E1	7.578646531E0	2.769204766E2	2.655999947E1	2.657999878E2	2.000000000E0	1.000000000E2
1.442912097E2	5.028291043E1	7.578284852E0	2.789204925E2	2.521999931E1	2.632000122E2	2.000000000E0	1.000000000E2
1.452742293E2	5.028288713E1	7.577945134E0	2.789205043E2	2.469999886E1	2.636000061E2	2.000000000E0	1.000000000E2
1.462717787E2	5.028286559E1	7.577604325E0	2.799205179E2	2.465999985E1	2.637999878E2	1.500000000E0	1.000000000E2
1.472828495E2	5.028283625E1	7.577264523E0	2.809205244E2	2.503999901E1	2.618999939E2	1.500000000E0	1.000000000E2
1.482811662E2	5.028278835E1	7.576920781E0	2.809205148E2	2.556999969E1	2.543000031E2	2.000000000E0	1.000000000E2
1.492849747E2	5.028271602E1	7.576573016E0	2.819204837E2	2.547999954E1	2.501000061E2	2.000000000E0	1.000000000E2
1.502784895E2	5.028264184E1	7.576237237E0	2.829204499E2	2.544999886E1	2.500000000E2	2.000000000E0	1.000000000E2
1.512819336E2	5.028256229E1	7.575905649E0	2.839204108E2	2.560999870E1	2.485000000E2	2.000000000E0	1.000000000E2
1.522553705E2	5.028247923E1	7.575565847E0	2.839203694E2	2.581999969E1	2.483999939E2	1.500000000E0	1.000000000E2
1.532447045E2	5.028239939E1	7.575232415E0	2.849203303E2	2.569999886E1	2.498999939E2	1.500000000E0	1.000000000E2
1.542479774E2	5.028231993E1	7.574900910E0	2.849202913E2	2.543000031E1	2.491000061E2	1.500000000E0	1.000000000E2
1.552584854E2	5.028224508E1	7.574585667E0	2.859202548E2	2.378999901E1	2.490000000E2	1.500000000E0	1.000000000E2
1.562647925E2	5.028217270E1	7.574283499E0	2.859202192E2	2.235000038E1	2.488000031E2	1.500000000E0	1.000000000E2
1.572706054E2	5.028210900E1	7.574000778E0	2.869201895E2	2.114999962E1	2.486000061E2	1.500000000E0	1.000000000E2
1.582589062E2	5.028203344E1	7.573731467E0	2.869201480E2	2.114999962E1	2.448000031E2	1.500000000E0	1.000000000E2
1.592856715E2	5.028192237E1	7.573457379E0	2.869200752E2	2.302999878E1	2.378000031E2	2.500000000E0	1.000000000E2
1.602595768E2	5.028177812E1	7.573181614E0	2.859199730E2	2.368000031E1	2.305000000E2	2.500000000E0	1.000000000E2
1.612686392E2	5.028158425E1	7.572953207E0	2.879198220E2	2.600000000E1	2.148000031E2	3.000000000E0	1.000000000E2
1.622540612E2	5.028138979E1	7.572745169E0	2.879196684E2	2.500000000E1	2.150000000E2	2.500000000E0	1.000000000E2
1.632717599E2	5.028120501E1	7.572543332E0	2.889195229E2	2.346999931E1	2.165000000E2	2.000000000E0	1.000000000E2
1.642856001E2	5.028103427E1	7.572351219E0	2.899193890E2	2.295999908E1	2.171000061E2	2.000000000E0	1.000000000E2
1.652831349E2	5.028086885E1	7.572148293E0	2.899192608E2	2.328999901E1	2.200000000E2	1.500000000E0	1.000000000E2
1.662705041E2	5.028070851E1	7.571936147E0	2.909191380E2	2.335999870E1	2.233000031E2	1.500000000E0	1.000000000E2
1.672875561E2	5.028056216E1	7.571721822E0	2.919190279E2	2.110999870E1	2.285000000E2	1.500000000E0	1.000000000E2
1.682786488E2	5.028044255E1	7.571511604E0	2.919189412E2	1.981999969E1	2.310000000E2	1.500000000E0	1.000000000E2
1.692984871E2	5.028034306E1	7.571290573E0	2.929188736E2	1.920999908E1	2.361999969E2	2.000000000E0	1.000000000E2
1.702751268E2	5.028028392E1	7.571033416E0	2.939188453E2	2.009000015E1	2.536000061E2	2.000000000E0	1.000000000E2
