"Time (s)"	"Latitude (°)"	"Longitude (°)"	"Height (m)"	"Velocity (m/s)"	"Direction (°)"	"Horizontal Accuracy (m)"	"Vertical Accuracy (m)"
9.857086066E1	5.030603682E1	7.610152764E0	8.793781865E1	1.714999962E1	8.000000119E-1	2.000000000E0	1.000000000E2
1.035805123E2	5.030672028E1	7.610322833E0	8.893840372E1	1.696999931E1	1.400000000E1	1.100000000E1	1.000000000E2
1.046049674E2	5.030686378E1	7.610374549E0	9.093852491E1	1.690999985E1	1.439999962E1	6.000000000E0	1.000000000E2
1.056140148E2	5.030707730E1	7.610448813E0	9.493870552E1	1.723999977E1	1.550000000E1	3.000000000E0	1.000000000E2
1.066259000E2	5.030722600E1	7.610510839E0	9.793883022E1	1.697999954E1	1.670000076E1	2.500000000E0	1.000000000E2
1.076036070E2	5.030738450E1	7.610583007E0	9.993896252E1	1.684000015E1	1.770000076E1	2.000000000E0	1.000000000E2
1.086066529E2	5.030752435E1	7.610666491E0	9.893907720E1	1.654999924E1	1.850000000E1	1.500000000E0	1.000000000E2
1.095892817E2	5.030766555E1	7.610746371E0	9.793919344E1	1.628999901E1	1.920000076E1	1.500000000E0	1.000000000E2
1.106365345E2	5.030780611E1	7.610822478E0	9.793930950E1	1.640999985E1	1.879999924E1	1.500000000E0	1.000000000E2
1.116423860E2	5.030794777E1	7.610903531E0	9.693942601E1	1.643000031E1	1.870000076E1	1.500000000E0	1.000000000E2
1.126371490E2	5.030808284E1	7.610982489E0	9.693953693E1	1.623999977E1	1.879999924E1	1.500000000E0	1.000000000E2
1.136386073E2	5.030821691E1	7.611059267E0	9.693964718E1	1.569999981E1	1.910000038E1	1.000000000E0	1.000000000E2
1.146380425E2	5.030834993E1	7.611137889E0	9.693975631E1	1.546000004E1	1.900000000E1	1.000000000E0	1.000000000E2
1.156304415E2	5.030847046E1	7.611211063E0	9.693985499E1	1.352999973E1	1.900000000E1	1.000000000E0	1.000000000E2
